scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,163.2366485595703,131.67466735839844,1.0,169.5968017578125,148.34786987304688,1.0,177.26129150390625,135.5596160888672,1.0,176.63714599609375,143.65884399414062,1.0,184.9266815185547,147.38339233398438,1.0,192.95458984375,149.6385955810547,1.0,201.1151123046875,151.44464111328125,1.0,209.0967254638672,150.30760192871094,1.0,216.96005249023438,148.1526641845703,1.0,231.3742218017578,142.61212158203125,1.0,241.95262145996094,128.4012451171875,1.0,251.12803649902344,112.58934783935547,1.0
1,156.5128936767578,125.51844787597656,1.0,163.63572692871094,141.82557678222656,1.0,172.72972106933594,129.86341857910156,1.0,170.9813995361328,138.25523376464844,1.0,179.13291931152344,141.4939727783203,1.0,187.2236328125,145.60389709472656,1.0,195.3577117919922,147.98959350585938,1.0,204.3309326171875,149.00259399414062,1.0,212.38800048828125,146.625,1.0,227.8616180419922,144.62266540527344,1.0,241.58389282226562,138.78323364257812,1.0,253.47727966308594,129.26979064941406,1.0
2,153.11790466308594,134.97470092773438,1.0,164.55078125,146.66885375976562,1.0,167.1058349609375,133.14820861816406,1.0,169.3492431640625,141.4233856201172,1.0,177.98971557617188,142.85464477539062,1.0,186.6429901123047,145.6209716796875,1.0,195.0517120361328,148.1291961669922,1.0,203.89358520507812,148.8857879638672,1.0,212.2274169921875,147.1399688720703,1.0,227.48204040527344,145.34115600585938,1.0,239.8520050048828,140.7012939453125,1.0,252.00628662109375,131.22532653808594,1.0
3,151.21824645996094,133.96263122558594,1.0,163.11187744140625,146.28970336914062,1.0,166.46517944335938,132.48110961914062,1.0,168.21163940429688,140.9923095703125,1.0,177.22711181640625,142.3788604736328,1.0,185.68389892578125,145.03125,1.0,194.15167236328125,147.74073791503906,1.0,203.3201141357422,148.80715942382812,1.0,211.69964599609375,147.27639770507812,1.0,226.5896759033203,146.19287109375,1.0,238.80792236328125,142.2632293701172,1.0,251.0058135986328,133.09910583496094,1.0
4,151.43722534179688,133.3850860595703,1.0,162.50848388671875,146.64581298828125,1.0,166.22796630859375,132.42556762695312,1.0,167.70921325683594,141.38526916503906,1.0,176.61788940429688,142.68319702148438,1.0,184.90560913085938,145.33154296875,1.0,193.61572265625,147.85951232910156,1.0,202.80465698242188,148.8469696044922,1.0,211.39195251464844,147.4300079345703,1.0,226.5115509033203,146.3587646484375,1.0,238.8213348388672,142.26138305664062,1.0,250.9522705078125,132.86447143554688,1.0
5,155.2385711669922,129.45425415039062,1.0,163.71524047851562,143.82327270507812,1.0,170.1280975341797,130.96237182617188,1.0,170.2637176513672,139.31625366210938,1.0,178.4552001953125,141.62274169921875,1.0,186.39306640625,145.19259643554688,1.0,194.481201171875,148.22207641601562,1.0,203.36293029785156,149.59234619140625,1.0,211.41041564941406,147.93365478515625,1.0,226.2577667236328,147.5783233642578,1.0,238.6692352294922,143.82115173339844,1.0,250.98023986816406,134.60154724121094,1.0
6,154.27694702148438,129.8920440673828,1.0,163.11436462402344,144.0843048095703,1.0,169.17401123046875,131.06051635742188,1.0,169.6226043701172,139.50735473632812,1.0,177.841552734375,141.6913299560547,1.0,185.8623046875,145.1739044189453,1.0,194.07530212402344,148.1638641357422,1.0,203.09979248046875,149.45114135742188,1.0,211.33193969726562,147.8528594970703,1.0,226.2014923095703,147.47984313964844,1.0,238.59165954589844,143.94737243652344,1.0,250.92623901367188,134.77125549316406,1.0
7,154.43212890625,129.8307342529297,1.0,163.1109161376953,144.12648010253906,1.0,169.28890991210938,131.03802490234375,1.0,169.61976623535156,139.47576904296875,1.0,177.84776306152344,141.6844482421875,1.0,185.82186889648438,145.19398498535156,1.0,194.02369689941406,148.2201385498047,1.0,203.20228576660156,149.5297088623047,1.0,211.3774871826172,147.91172790527344,1.0,226.15402221679688,147.40194702148438,1.0,238.5778350830078,143.976806640625,1.0,250.95138549804688,134.7877197265625,1.0
