scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,8.798406600952148,111.18309783935547,0.9999990463256836,6.520517349243164,132.43910217285156,0.9999957084655762,16.278535842895508,124.96136474609375,1.0,12.287463188171387,131.7440643310547,1.0,16.190685272216797,138.86605834960938,1.0,20.36099624633789,144.74534606933594,1.0,25.139850616455078,149.24920654296875,1.0,31.048612594604492,153.2552490234375,1.0,37.568050384521484,158.9806365966797,1.0,52.08810043334961,164.5912628173828,1.0,69.90299224853516,158.7493438720703,1.0,83.47313690185547,140.95950317382812,1.0
1,26.624126434326172,85.70115661621094,1.0,14.081923484802246,100.06947326660156,1.0,29.360767364501953,104.88288116455078,1.0,20.98157501220703,107.53939056396484,1.0,18.5384578704834,116.4358901977539,1.0,15.886642456054688,124.65908813476562,1.0,12.188268661499023,132.4132537841797,1.0,12.659407615661621,140.22666931152344,1.0,16.623783111572266,148.6678009033203,1.0,23.150449752807617,164.49073791503906,1.0,36.552799224853516,176.65591430664062,0.9999992847442627,57.01200866699219,177.0465087890625,0.9999997615814209
2,41.397640228271484,76.89334869384766,1.0,25.723033905029297,85.72451782226562,1.0,38.0516242980957,95.64087677001953,1.0,27.908679962158203,96.08247375488281,1.0,24.423934936523438,103.29199981689453,1.0,20.225860595703125,109.93017578125,1.0,15.710224151611328,117.68659210205078,1.0,14.404274940490723,125.97906494140625,1.0,13.86346435546875,133.82308959960938,1.0,14.054274559020996,151.26470947265625,0.9999983906745911,20.19256019592285,170.38815307617188,0.9999960064888,33.647220611572266,177.57928466796875,0.9999966621398926
3,38.92581558227539,50.72357177734375,1.0,27.73288345336914,65.28451538085938,1.0,40.409542083740234,71.72987365722656,1.0,29.827877044677734,74.2780532836914,1.0,27.5892391204834,82.85736083984375,1.0,24.324922561645508,91.86165618896484,1.0,20.985776901245117,101.56147766113281,1.0,19.557453155517578,110.09078216552734,1.0,17.079030990600586,121.04741668701172,1.0,14.947440147399902,138.97073364257812,1.0,16.656761169433594,157.40882873535156,0.9999983310699463,25.642784118652344,169.16502380371094,0.9999967813491821
4,45.004146575927734,46.27654266357422,1.0,30.776060104370117,58.20798110961914,1.0,44.924198150634766,66.96072387695312,1.0,33.91912078857422,68.36048889160156,1.0,30.649791717529297,76.99070739746094,1.0,26.61074447631836,85.75038146972656,1.0,22.356889724731445,93.70335388183594,1.0,21.8660831451416,103.89485931396484,1.0,21.847185134887695,114.08509063720703,1.0,23.648263931274414,132.90660095214844,1.0,30.086116790771484,150.65631103515625,1.0,44.33391571044922,161.62147521972656,1.0
5,32.078948974609375,47.27967071533203,1.0,21.85062599182129,61.803009033203125,1.0,38.10694885253906,63.168827056884766,1.0,29.92487335205078,67.11094665527344,1.0,27.945266723632812,76.12178039550781,1.0,26.56673812866211,84.33161926269531,0.9999997615814209,24.635074615478516,93.78876495361328,1.0,24.671627044677734,102.60929870605469,1.0,23.42460060119629,112.27472686767578,1.0,27.652679443359375,130.01058959960938,1.0,33.72451400756836,147.87649536132812,1.0,46.199153900146484,161.8522186279297,1.0
6,31.24635124206543,26.4223690032959,0.9999990463256836,21.92172622680664,43.85200881958008,1.0,36.40104293823242,43.545780181884766,1.0,27.75200653076172,48.2646369934082,1.0,29.47072982788086,58.916378021240234,0.9999990463256836,27.431915283203125,67.73207092285156,0.9999982714653015,25.640785217285156,78.15279388427734,0.9999992847442627,25.868480682373047,86.06578826904297,1.0,25.12541961669922,98.87869262695312,1.0,26.93053436279297,120.64043426513672,0.9999967813491821,30.2554931640625,138.50575256347656,1.0,42.56877517700195,150.76553344726562,1.0
7,24.923006057739258,38.75666809082031,0.9999974370002747,17.88365936279297,54.22943878173828,1.0,32.57535171508789,51.43819808959961,1.0,25.210105895996094,55.92481994628906,1.0,25.97357940673828,63.80725860595703,1.0,25.954608917236328,71.59278869628906,1.0,25.182600021362305,79.58462524414062,1.0,25.95707893371582,87.77386474609375,1.0,27.482685089111328,97.41859436035156,1.0,32.62153244018555,111.0591049194336,1.0,36.76094055175781,126.4568862915039,1.0,44.518310546875,138.4062957763672,1.0
