scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,145.78353881835938,102.6993179321289,1.0,137.11073303222656,123.84171295166016,1.0,152.62132263183594,120.5020980834961,1.0,144.78201293945312,126.33219909667969,1.0,148.3441162109375,133.84873962402344,1.0,153.68560791015625,139.77981567382812,1.0,160.18472290039062,143.98487854003906,1.0,169.14328002929688,145.55206298828125,1.0,177.9596710205078,144.93028259277344,1.0,195.4060516357422,150.90626525878906,1.0,212.9835968017578,152.68870544433594,1.0,233.7418975830078,148.32907104492188,1.0
1,162.3614959716797,100.56583404541016,1.0,151.1451416015625,115.57951354980469,1.0,165.404052734375,117.50308990478516,1.0,157.64529418945312,120.16043090820312,1.0,157.57147216796875,129.09593200683594,1.0,157.38914489746094,137.53404235839844,1.0,162.94100952148438,144.1064453125,1.0,169.0458526611328,149.2947998046875,1.0,179.53030395507812,151.75941467285156,1.0,193.80908203125,161.43621826171875,1.0,209.0012969970703,167.31947326660156,1.0,228.31729125976562,167.0218505859375,1.0
2,182.77049255371094,99.82695770263672,1.0,168.0159149169922,105.42798614501953,1.0,178.84356689453125,117.45132446289062,1.0,170.5525360107422,116.27989959716797,1.0,165.1005401611328,122.48731994628906,1.0,160.84548950195312,128.1524200439453,1.0,158.3237762451172,137.27117919921875,1.0,157.643798828125,146.72850036621094,1.0,160.04847717285156,154.12283325195312,1.0,163.31297302246094,171.4435272216797,1.0,165.7019500732422,190.1990509033203,1.0,177.90499877929688,200.85899353027344,0.9995892643928528
3,196.56893920898438,107.72012329101562,1.0,182.95010375976562,108.95037841796875,1.0,190.1265869140625,124.43622589111328,1.0,181.7709197998047,120.75973510742188,1.0,174.4331817626953,124.67191314697266,1.0,167.3034210205078,129.71527099609375,1.0,162.58447265625,136.21481323242188,1.0,158.87037658691406,144.0806884765625,1.0,156.79820251464844,153.0803985595703,1.0,154.06207275390625,169.33367919921875,1.0,151.21810913085938,188.3838348388672,1.0,157.26564025878906,203.13714599609375,0.9999522566795349
4,209.96646118164062,100.42386627197266,1.0,196.68247985839844,104.04161834716797,1.0,204.02378845214844,117.02886962890625,1.0,196.35076904296875,113.8683853149414,1.0,188.9488067626953,118.57225036621094,1.0,181.25601196289062,123.49076080322266,1.0,173.33433532714844,127.66046905517578,1.0,166.73635864257812,133.09762573242188,1.0,156.9541015625,139.67771911621094,1.0,146.72506713867188,148.91102600097656,1.0,143.38633728027344,164.210693359375,1.0,149.2519989013672,177.6960906982422,0.9999998807907104
5,232.84463500976562,96.17410278320312,1.0,220.50668334960938,100.20331573486328,1.0,228.01768493652344,113.31741333007812,1.0,220.59027099609375,108.71976470947266,1.0,210.88880920410156,112.93708801269531,1.0,201.3257598876953,115.0914535522461,1.0,190.1128692626953,119.5518798828125,1.0,179.03111267089844,123.99600219726562,1.0,167.10903930664062,129.23764038085938,1.0,145.16224670410156,138.3408660888672,1.0,126.58696746826172,146.99566650390625,1.0,110.6174545288086,156.93190002441406,1.0
6,249.78846740722656,66.64356994628906,1.0,236.3561553955078,74.52434539794922,1.0,246.11500549316406,87.84953308105469,1.0,236.69349670410156,85.1939697265625,1.0,230.2975311279297,91.70260620117188,1.0,224.46231079101562,98.57124328613281,1.0,212.9911651611328,105.42173767089844,1.0,201.37274169921875,110.87216186523438,1.0,190.91073608398438,118.156005859375,1.0,172.27052307128906,127.79132080078125,1.0,154.3482666015625,140.7101593017578,1.0,138.01893615722656,151.00692749023438,1.0
7,265.51544189453125,61.30061721801758,1.0,253.9893341064453,67.9056167602539,1.0,262.958984375,81.68023681640625,1.0,252.62191772460938,78.49468231201172,1.0,246.5851287841797,85.29409790039062,1.0,238.7200927734375,91.66007232666016,1.0,229.03717041015625,96.27277374267578,1.0,220.58059692382812,102.3874282836914,1.0,209.1123046875,111.18535614013672,1.0,189.775146484375,123.33451080322266,1.0,170.16162109375,137.6181640625,0.9999996423721313,154.0065155029297,148.05523681640625,0.9998301863670349
