scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,251.3628387451172,118.44145965576172,1.0,239.98788452148438,125.0006103515625,1.0,245.60862731933594,137.0742645263672,1.0,239.5728302001953,132.8796844482422,1.0,231.63162231445312,137.19908142089844,1.0,219.6397247314453,137.45773315429688,1.0,208.11656188964844,136.50717163085938,1.0,194.8396453857422,136.58193969726562,1.0,180.62844848632812,133.62240600585938,1.0,155.12600708007812,129.75746154785156,1.0,132.1802520751953,122.0791244506836,0.9999998211860657,123.08170318603516,105.90489959716797,0.9952563047409058
1,246.64990234375,121.90608215332031,0.9999998807907104,235.50474548339844,126.77271270751953,1.0,240.30653381347656,137.77627563476562,1.0,235.914794921875,134.93612670898438,1.0,227.69601440429688,138.69769287109375,1.0,217.4429168701172,137.96124267578125,1.0,205.66452026367188,137.5159912109375,1.0,193.02197265625,136.05615234375,1.0,180.33041381835938,132.8050994873047,1.0,154.63392639160156,128.48414611816406,1.0,132.27630615234375,119.77623748779297,0.9999987483024597,121.90167999267578,103.88827514648438,0.9919018149375916
2,233.32228088378906,135.2760467529297,1.0,224.62510681152344,132.3772430419922,1.0,225.23390197753906,145.4387664794922,1.0,222.0686798095703,139.37046813964844,1.0,215.2144317626953,138.45130920410156,1.0,207.33706665039062,138.49456787109375,1.0,197.83595275878906,136.95419311523438,1.0,187.158935546875,136.38771057128906,1.0,175.5384063720703,132.451171875,1.0,151.4588165283203,129.18182373046875,1.0,127.0704574584961,119.87067413330078,0.9999971389770508,116.74359130859375,101.70436096191406,0.9999123811721802
3,234.89610290527344,144.7878875732422,1.0,225.8769989013672,138.6256103515625,1.0,224.10691833496094,149.8369903564453,1.0,223.46542358398438,143.7555389404297,1.0,216.73355102539062,140.54847717285156,1.0,208.15060424804688,137.9875946044922,1.0,198.52102661132812,134.25721740722656,1.0,188.8549041748047,133.22296142578125,1.0,178.09799194335938,129.86727905273438,1.0,153.06033325195312,126.85356903076172,1.0,133.41580200195312,118.4698715209961,0.9999997019767761,116.43810272216797,105.73531341552734,0.9993264079093933
4,234.86082458496094,141.72242736816406,1.0,227.68775939941406,136.731689453125,1.0,226.12966918945312,149.440185546875,1.0,225.23118591308594,142.86386108398438,1.0,216.99375915527344,140.2712860107422,1.0,209.6661376953125,138.01597595214844,1.0,199.49716186523438,134.52020263671875,1.0,189.7740020751953,133.30035400390625,1.0,178.69692993164062,129.71151733398438,1.0,152.94607543945312,125.79681396484375,1.0,133.8524169921875,116.61548614501953,0.9999996423721313,117.37322998046875,100.73925018310547,0.9986097812652588
5,242.85806274414062,144.5990753173828,1.0,234.7044677734375,139.6739959716797,1.0,231.66383361816406,151.69525146484375,1.0,230.9470672607422,144.7557830810547,1.0,221.7202911376953,141.01678466796875,1.0,212.9242401123047,137.82473754882812,1.0,202.00387573242188,134.52188110351562,1.0,191.508544921875,132.3922576904297,1.0,179.25424194335938,128.7046661376953,1.0,154.20257568359375,124.28866577148438,1.0,136.84568786621094,115.2468032836914,0.9999994039535522,117.71025085449219,100.26741790771484,0.9996511936187744
6,243.09237670898438,143.55003356933594,1.0,234.63145446777344,139.45863342285156,1.0,231.86001586914062,151.64637756347656,1.0,231.0012969970703,144.78089904785156,1.0,221.7083282470703,141.32199096679688,1.0,212.93812561035156,138.15277099609375,1.0,202.3644256591797,134.2095489501953,1.0,191.5078887939453,132.64984130859375,1.0,179.18643188476562,128.89210510253906,1.0,153.9403839111328,124.31644439697266,1.0,136.56329345703125,115.51510620117188,0.9999997615814209,117.68708801269531,100.91490173339844,0.9996146559715271
7,242.9481964111328,142.87359619140625,1.0,234.53704833984375,139.96844482421875,1.0,231.79933166503906,151.4534454345703,1.0,230.9268341064453,144.56204223632812,1.0,221.55177307128906,140.94580078125,1.0,212.8391571044922,137.86355590820312,1.0,201.907958984375,134.6059112548828,1.0,191.38624572753906,132.57504272460938,1.0,179.11570739746094,128.77749633789062,1.0,153.53041076660156,124.02804565429688,1.0,136.02696228027344,115.25245666503906,0.9999997615814209,117.25108337402344,100.88518524169922,0.9998268485069275
