scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,94.7747573852539,127.65966033935547,1.0,103.10313415527344,139.33917236328125,1.0,106.33556365966797,125.1478271484375,1.0,108.07564544677734,133.27633666992188,1.0,118.0936050415039,137.25146484375,1.0,129.25015258789062,139.76617431640625,1.0,142.317626953125,142.27110290527344,1.0,155.44937133789062,142.73081970214844,1.0,168.20787048339844,142.017578125,1.0,187.5004425048828,144.1766815185547,1.0,207.73779296875,143.84767150878906,1.0,227.64096069335938,134.34226989746094,1.0
1,90.43399047851562,150.32876586914062,1.0,103.52289581298828,156.19281005859375,1.0,98.43255615234375,143.7589111328125,1.0,104.08531188964844,148.61573791503906,1.0,116.26897430419922,145.4784393310547,1.0,127.60630798339844,143.89376831054688,1.0,141.52224731445312,144.51974487304688,1.0,154.28207397460938,142.02114868164062,1.0,166.00965881347656,138.8022003173828,1.0,186.5968475341797,139.04200744628906,1.0,207.1080322265625,137.3461151123047,1.0,227.08203125,125.50482940673828,1.0
2,87.8929443359375,152.83262634277344,1.0,102.62567901611328,157.6381378173828,1.0,95.30070495605469,145.62135314941406,1.0,102.28282928466797,149.51902770996094,1.0,113.75448608398438,146.104736328125,1.0,126.10025787353516,143.84303283691406,1.0,139.40953063964844,142.52601623535156,1.0,151.8854522705078,139.9061737060547,1.0,164.1603546142578,137.45001220703125,1.0,185.28939819335938,136.15838623046875,1.0,204.00404357910156,134.8453369140625,1.0,225.6748809814453,124.74769592285156,1.0
3,93.53923034667969,149.57650756835938,1.0,105.382080078125,155.68460083007812,1.0,100.60093688964844,142.2611083984375,1.0,105.91932678222656,148.0517578125,1.0,116.38479614257812,144.69882202148438,1.0,127.74857330322266,142.5858917236328,1.0,140.828857421875,142.64675903320312,1.0,153.24981689453125,139.3733367919922,1.0,165.8987274169922,137.55580139160156,1.0,185.03143310546875,138.1477813720703,1.0,205.21070861816406,137.22991943359375,1.0,226.9562530517578,129.66783142089844,1.0
4,99.7145767211914,164.30726623535156,1.0,113.61595153808594,161.77700805664062,1.0,103.70298767089844,152.6907196044922,1.0,109.97227478027344,155.04542541503906,1.0,118.71391296386719,149.5796356201172,1.0,129.73577880859375,144.78684997558594,1.0,140.86221313476562,143.62799072265625,1.0,153.04098510742188,139.20492553710938,1.0,165.40989685058594,135.98428344726562,1.0,185.8616180419922,133.99847412109375,1.0,204.94200134277344,130.3227996826172,1.0,225.29190063476562,121.36949920654297,1.0
5,91.21754455566406,141.2891387939453,1.0,101.5167007446289,154.44857788085938,1.0,100.80976867675781,139.85321044921875,1.0,104.70117950439453,148.04388427734375,1.0,116.61754608154297,146.75218200683594,1.0,128.22091674804688,145.28652954101562,1.0,140.97145080566406,143.7779998779297,1.0,153.12460327148438,140.5720672607422,1.0,164.915771484375,137.1455535888672,1.0,185.791015625,135.43067932128906,1.0,204.6200714111328,133.76870727539062,1.0,224.77474975585938,124.05241394042969,1.0
6,95.82037353515625,120.09573364257812,1.0,100.85279846191406,138.14227294921875,1.0,109.4136962890625,128.28147888183594,1.0,108.04920196533203,135.19581604003906,1.0,118.7948226928711,138.96771240234375,1.0,129.27000427246094,141.12896728515625,1.0,141.10533142089844,142.7776641845703,1.0,153.6760711669922,141.2133026123047,1.0,165.939208984375,138.66110229492188,1.0,185.81272888183594,138.69683837890625,1.0,206.2481689453125,137.80673217773438,1.0,227.49290466308594,128.4677734375,1.0
7,91.43279266357422,127.1729507446289,1.0,100.74749755859375,141.78770446777344,1.0,107.50636291503906,129.7723846435547,1.0,106.95471954345703,136.71694946289062,1.0,118.36250305175781,139.56170654296875,1.0,129.45855712890625,141.0199432373047,1.0,141.02029418945312,142.27183532714844,1.0,153.4368438720703,140.39173889160156,1.0,165.32223510742188,138.0825958251953,1.0,185.1266632080078,138.13351440429688,1.0,205.7235107421875,137.00961303710938,1.0,227.1057586669922,127.50985717773438,1.0
