scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,133.76443481445312,130.02784729003906,1.0,152.31231689453125,135.83506774902344,1.0,148.97219848632812,124.80602264404297,1.0,153.848388671875,130.545654296875,1.0,162.41334533691406,126.46961212158203,1.0,168.29251098632812,120.85601043701172,1.0,176.50094604492188,112.7951889038086,1.0,180.96324157714844,105.08245849609375,1.0,185.6882781982422,95.36095428466797,1.0,196.62686157226562,83.47014617919922,1.0,206.35110473632812,68.14616394042969,1.0,193.98529052734375,56.119808197021484,1.0
1,134.97250366210938,127.47298431396484,1.0,152.39752197265625,134.7340545654297,1.0,149.33978271484375,122.86073303222656,1.0,154.63185119628906,129.2970733642578,1.0,163.1742706298828,126.34677124023438,1.0,169.7408447265625,120.0274658203125,1.0,177.1177215576172,112.66797637939453,1.0,181.20962524414062,104.99835968017578,1.0,185.94766235351562,95.64331817626953,1.0,196.8792724609375,83.83039093017578,1.0,206.31976318359375,68.02002716064453,1.0,193.21939086914062,56.35698699951172,1.0
2,142.4625244140625,86.1870346069336,1.0,145.95059204101562,109.86688232421875,1.0,158.36529541015625,99.99414825439453,1.0,154.40921020507812,109.484619140625,1.0,161.78692626953125,111.52281188964844,1.0,171.492919921875,111.98434448242188,1.0,178.62625122070312,110.65101623535156,1.0,185.3357391357422,107.56373596191406,1.0,192.42697143554688,99.09707641601562,1.0,205.70445251464844,84.80978393554688,0.9999991655349731,206.91200256347656,68.46851348876953,1.0,189.60385131835938,58.752079010009766,1.0
3,149.9969940185547,60.32094955444336,1.0,143.4737091064453,82.6716537475586,1.0,159.9178924560547,78.27412414550781,1.0,152.60345458984375,85.44660186767578,1.0,157.05007934570312,93.38675689697266,1.0,161.8463134765625,101.34431457519531,1.0,170.69268798828125,105.53943634033203,0.9999978542327881,179.40176391601562,108.94287109375,1.0,189.44094848632812,109.87786102294922,1.0,205.52993774414062,99.83818817138672,0.9999988079071045,212.4693603515625,79.64803314208984,1.0,200.4282684326172,65.2158203125,0.9999923706054688
4,138.98739624023438,71.05733489990234,1.0,143.10142517089844,89.83010864257812,1.0,157.01702880859375,79.92109680175781,1.0,152.08644104003906,88.51410675048828,1.0,158.9918975830078,95.37879943847656,1.0,165.72506713867188,101.92317199707031,1.0,173.7950439453125,106.37400817871094,1.0,182.13291931152344,110.21266174316406,1.0,191.22471618652344,110.24440002441406,1.0,206.5904541015625,99.52571868896484,0.9999996423721313,217.965087890625,87.4891357421875,0.9999996423721313,216.24468994140625,69.84659576416016,1.0
5,138.96444702148438,107.22052764892578,1.0,150.71168518066406,114.91442108154297,1.0,150.92718505859375,100.6303939819336,1.0,153.3391876220703,108.19173431396484,1.0,161.4600830078125,108.54471588134766,1.0,169.87088012695312,107.66828918457031,1.0,179.37350463867188,107.40840911865234,1.0,185.87091064453125,107.26568603515625,1.0,194.94346618652344,102.70751190185547,1.0,209.6226348876953,92.07149505615234,1.0,217.9575653076172,76.21581268310547,1.0,216.47665405273438,57.78337097167969,1.0
6,141.78855895996094,139.68115234375,1.0,155.6994171142578,132.8063201904297,1.0,144.59539794921875,127.86505126953125,1.0,150.73301696777344,129.35963439941406,1.0,156.28875732421875,121.3980712890625,1.0,163.47479248046875,114.4121322631836,1.0,172.4635467529297,109.42838287353516,1.0,181.54058837890625,103.4404067993164,1.0,193.65113830566406,97.9168701171875,1.0,206.7691650390625,87.2978286743164,1.0,216.29820251464844,72.85336303710938,1.0,215.86099243164062,53.735015869140625,1.0
7,135.37448120117188,159.32330322265625,1.0,151.14956665039062,148.8137664794922,1.0,137.5872039794922,146.34523010253906,1.0,146.0641632080078,145.73147583007812,1.0,152.14088439941406,135.7879638671875,1.0,160.0882110595703,125.36015319824219,1.0,167.351318359375,117.0720443725586,1.0,176.48995971679688,107.13577270507812,1.0,186.24647521972656,99.8736572265625,1.0,199.74468994140625,85.64356231689453,1.0,209.949462890625,70.74707794189453,1.0,208.42059326171875,50.0200080871582,1.0
