scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,113.57622528076172,91.1417465209961,1.0,118.9229965209961,109.90388488769531,1.0,132.02780151367188,101.71173858642578,1.0,127.84369659423828,109.66346740722656,1.0,131.00901794433594,117.01393127441406,1.0,133.5304718017578,126.46293640136719,1.0,136.24424743652344,135.2939453125,1.0,136.82276916503906,144.6096954345703,1.0,139.99664306640625,154.7353515625,1.0,147.08197021484375,170.37588500976562,1.0,160.34226989746094,185.20962524414062,1.0,179.63192749023438,187.46359252929688,1.0
1,102.22212982177734,103.84815979003906,1.0,112.41546630859375,117.69222259521484,1.0,120.27001953125,105.44137573242188,1.0,119.56033325195312,112.23638916015625,1.0,125.69390106201172,118.3561019897461,1.0,130.76316833496094,125.56721496582031,1.0,136.28089904785156,133.91900634765625,1.0,138.4910430908203,143.9918975830078,1.0,141.9795684814453,154.791015625,1.0,150.72007751464844,169.62982177734375,1.0,164.13729858398438,183.0299072265625,1.0,182.94216918945312,186.3001708984375,1.0
2,83.86406707763672,105.926025390625,1.0,95.50631713867188,119.08785247802734,1.0,100.03765106201172,104.99018096923828,1.0,100.57290649414062,113.03345489501953,1.0,108.13451385498047,117.81556701660156,1.0,117.92921447753906,123.77643585205078,1.0,126.89122772216797,130.6929168701172,1.0,134.45590209960938,140.17884826660156,1.0,142.86944580078125,150.730712890625,1.0,155.30026245117188,166.56112670898438,1.0,169.4106903076172,179.8748321533203,1.0,190.6797637939453,185.37533569335938,0.9999998211860657
3,77.55278015136719,120.0814437866211,1.0,90.757568359375,128.53945922851562,1.0,89.97370147705078,113.7591552734375,1.0,93.61988067626953,120.60324096679688,1.0,103.2925796508789,122.08726501464844,1.0,113.96830749511719,123.84349060058594,1.0,124.12577819824219,131.38172912597656,1.0,134.23818969726562,137.33006286621094,1.0,144.36598205566406,146.35475158691406,1.0,157.30662536621094,159.459228515625,1.0,172.9076690673828,171.4704132080078,1.0,192.84475708007812,174.71368408203125,1.0
4,85.97885131835938,105.07157897949219,1.0,96.71199798583984,120.76956939697266,1.0,105.95413208007812,108.32181549072266,1.0,103.80061340332031,116.05323791503906,1.0,111.69737243652344,121.99093627929688,1.0,120.09461975097656,129.56924438476562,1.0,127.78076934814453,135.1671905517578,1.0,134.04562377929688,143.845703125,1.0,141.84954833984375,153.16908264160156,1.0,152.6602783203125,167.30323791503906,1.0,164.7186737060547,179.89195251464844,1.0,183.52239990234375,185.97914123535156,1.0
5,128.780029296875,97.73670196533203,1.0,117.32203674316406,113.9722671508789,1.0,133.32591247558594,114.72923278808594,1.0,125.63894653320312,119.23033142089844,1.0,126.1504135131836,127.57251739501953,1.0,126.88896179199219,133.89389038085938,1.0,130.396728515625,140.0572509765625,1.0,134.0663604736328,147.78575134277344,1.0,140.96408081054688,154.7255401611328,1.0,151.75535583496094,168.16632080078125,1.0,164.22787475585938,181.487060546875,1.0,183.02963256835938,187.23037719726562,1.0
6,127.05421447753906,98.96099853515625,1.0,117.47258758544922,114.31144714355469,1.0,133.02577209472656,113.609619140625,1.0,125.91854095458984,118.75245666503906,1.0,126.56303405761719,127.1546401977539,1.0,127.38414764404297,133.5369873046875,1.0,130.3975830078125,139.80215454101562,1.0,134.19041442871094,147.8724822998047,1.0,140.76617431640625,155.26986694335938,1.0,151.1826629638672,168.9895782470703,1.0,163.43092346191406,182.50933837890625,1.0,182.17568969726562,188.27308654785156,1.0
7,126.79447937011719,97.92435455322266,1.0,117.6116943359375,114.03612518310547,1.0,133.46530151367188,112.64140319824219,1.0,126.07467651367188,118.12866973876953,1.0,126.7023696899414,126.8012924194336,1.0,127.5635757446289,133.38272094726562,1.0,130.4622802734375,139.89031982421875,1.0,134.20057678222656,148.12379455566406,1.0,140.7234344482422,155.69309997558594,1.0,151.1742401123047,169.39190673828125,1.0,163.56602478027344,182.99696350097656,1.0,182.14242553710938,188.93826293945312,1.0
