scorer,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000,DLC_resnet50_deeplabcut-testSep29shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,tail4,tail4,tail4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,180.16664123535156,158.0531463623047,1.0,195.07302856445312,151.2136688232422,1.0,182.66156005859375,146.18450927734375,1.0,190.90524291992188,146.2478790283203,1.0,194.05690002441406,138.26885986328125,1.0,198.88052368164062,127.54917907714844,1.0,204.55899047851562,117.98236083984375,1.0,211.516357421875,108.8554458618164,1.0,219.6099090576172,101.26031494140625,1.0,233.84451293945312,87.75460052490234,1.0,247.94149780273438,80.2855453491211,1.0,262.78778076171875,75.21138000488281,1.0
1,174.7279815673828,107.08734130859375,1.0,184.93946838378906,121.71475219726562,1.0,190.9370574951172,109.81185913085938,1.0,191.8342742919922,117.20852661132812,1.0,199.79183959960938,119.08474731445312,1.0,209.05194091796875,117.28746795654297,1.0,216.5613555908203,116.59705352783203,1.0,222.73770141601562,113.01933288574219,1.0,230.1721649169922,106.87183380126953,1.0,245.62777709960938,100.20928192138672,1.0,257.1750793457031,93.41736602783203,1.0,269.4893798828125,86.63587951660156,1.0
2,203.2694854736328,70.049072265625,1.0,194.48951721191406,89.03829193115234,1.0,211.374267578125,87.97402954101562,1.0,203.16868591308594,94.05050659179688,1.0,205.3331756591797,102.8714599609375,1.0,208.7991485595703,109.29544067382812,1.0,214.32810974121094,114.73452758789062,1.0,221.5050811767578,116.2706069946289,1.0,230.69874572753906,116.59294891357422,1.0,243.31802368164062,118.99212646484375,1.0,256.1842956542969,116.046142578125,1.0,268.3761901855469,107.25669860839844,1.0
3,208.25633239746094,52.22418975830078,1.0,200.21942138671875,68.13627624511719,1.0,216.8169403076172,71.96711730957031,1.0,206.1579132080078,75.79922485351562,1.0,205.38536071777344,87.11859130859375,1.0,204.88185119628906,97.950439453125,0.9999996423721313,205.57012939453125,108.3293685913086,1.0,211.1385955810547,117.31663513183594,1.0,220.79150390625,125.07402801513672,1.0,230.7277069091797,133.83456420898438,1.0,241.76760864257812,142.94021606445312,1.0,257.20220947265625,144.57073974609375,1.0
4,213.21572875976562,56.377010345458984,1.0,203.82887268066406,75.774169921875,1.0,219.9441680908203,76.94221496582031,1.0,210.22479248046875,81.54072570800781,1.0,209.17344665527344,93.62493133544922,1.0,209.11428833007812,102.40412139892578,1.0,212.30941772460938,112.5775375366211,1.0,217.4824676513672,121.04146575927734,1.0,225.8646697998047,128.19830322265625,1.0,233.1603240966797,135.5596923828125,1.0,241.5146484375,142.14443969726562,1.0,250.94830322265625,145.9666748046875,1.0
5,235.70750427246094,92.93220520019531,1.0,222.10850524902344,96.94995880126953,1.0,230.19058227539062,108.90048217773438,1.0,223.68505859375,105.76962280273438,1.0,217.88658142089844,110.53924560546875,1.0,214.9773406982422,116.2057113647461,1.0,216.23529052734375,123.81462097167969,1.0,220.8372344970703,131.48350524902344,1.0,226.39544677734375,136.5161590576172,1.0,232.15184020996094,142.83352661132812,1.0,239.6864776611328,151.24853515625,1.0,248.82827758789062,151.26856994628906,1.0
6,266.4812927246094,115.86754608154297,1.0,257.3805847167969,113.66531372070312,1.0,258.8799743652344,126.1640396118164,1.0,254.92520141601562,119.8516616821289,0.9999997615814209,241.8655242919922,120.0751953125,0.9891787767410278,231.0181427001953,123.2506332397461,0.9999954700469971,229.48521423339844,125.53034210205078,1.0,224.6670379638672,130.76187133789062,0.9999998807907104,222.767578125,139.71615600585938,1.0,224.79043579101562,150.1415252685547,1.0,233.32289123535156,158.3497772216797,1.0,247.1853790283203,160.2318115234375,1.0
7,254.4690399169922,141.0208282470703,0.9995129108428955,252.69912719726562,134.71788024902344,1.0,246.6334228515625,142.24557495117188,1.0,247.28558349609375,136.18112182617188,1.0,242.87301635742188,131.1820526123047,1.0,237.2932891845703,125.7070083618164,1.0,229.89869689941406,120.23844909667969,1.0,221.4511260986328,116.34989166259766,1.0,210.1822052001953,114.6983642578125,1.0,191.6982879638672,116.33267211914062,1.0,179.4393310546875,130.53189086914062,1.0,179.5892791748047,146.06759643554688,0.9999994039535522
